标记,学校编号,学校名称,所属学院,专业名称,专业代码,研究方向,培养类型,计划人数,距离最后更新时间已过分钟
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,偏微分方程数值解,全日制,0,10339,不符合调入专业学科门类要求
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机系统结构,081201,不区分研究方向,全日制,0,265,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式高速计算机技术,全日制,0,369,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,高精度数值方法,全日制,0,10339,不符合调入专业学科门类要求
 ,10148,辽宁石油化工大学,计算机与通信工程学院,计算机系统结构,081201,不区分研究方向,全日制,2,159,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机应用技术,081203,不区分研究方向,全日制,0,265,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,偏微分方程数值解与并行计算,全日制,0,10339,不符合调入专业学科门类要求
 ,10402,闽南师范大学,粒计算重点实验室,计算数学,070102,不区分研究方向,全日制,2,709,不符合调入专业学科门类要求
 ,82817,中国工程物理研究院,计算机应用研究所,计算机应用技术,081203,软件与可信计算,全日制,0,10339,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,实时嵌入式软件,全日制,0,369,不符合调入专业初试科目要求
 ,10148,辽宁石油化工大学,计算机与通信工程学院,计算机软件与理论,081202,不区分研究方向,全日制,5,159,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,网络集成软件开发,全日制,0,369,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,计算机应用研究所,计算机应用技术,081203,大规模并行计算,全日制,0,10339,不符合调入专业初试科目要求
 ,82912,中国航空研究院631所,不区分院系所,计算数学,070102,不区分研究方向,全日制,0,6019,不符合调入专业学科门类要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式计算机系统结构,全日制,0,369,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,空间计算机系统结构,全日制,0,369,不符合调入专业初试科目要求
 ,11799,重庆工商大学,数学与统计学院,计算数学,070102,不区分研究方向,全日制,5,379,不符合调入专业学科门类要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,空间计算机技术及容错技术,全日制,0,369,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,计算机控制技术,全日制,0,369,不符合调入专业初试科目要求
 ,82912,中国航空研究院631所,不区分院系所,计算机科学与技术,081200,不区分研究方向,全日制,0,6019,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,微分方程数值解,全日制,0,10339,不符合调入专业学科门类要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式计算机应用技术,全日制,0,369,不符合调入专业初试科目要求
 ,11413,中国矿业大学(北京),理学院,计算数学,070102,不区分研究方向,全日制,0,219,不符合调入专业学科门类要求
 ,83266,中国空间技术研究院(航天五院),不区分院系所,计算机科学与技术,081200,不区分研究方向,全日制,0,84,
 ,82817,中国工程物理研究院,计算机应用研究所,计算机应用技术,081203,网络与信息安全,全日制,0,10339,不符合调入专业初试科目要求
 ,10148,辽宁石油化工大学,计算机与通信工程学院,计算机应用技术,081203,不区分研究方向,全日制,5,159,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,不区分研究方向,全日制,0,369,不符合调入专业初试科目要求
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机软件与理论,081202,不区分研究方向,全日制,0,265,不符合调入专业初试科目要求
 ,82912,中国航空研究院631所,不区分院系所,软件工程,083500,不区分研究方向,全日制,0,6019,不符合调入专业初试科目要求
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,算法分析与设计,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,软件体系结构,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,软件方法学,全日制,0,239,
 ,10148,辽宁石油化工大学,计算机与通信工程学院,计算机软件与理论,081202,不区分研究方向,全日制,5,159,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,可信软件与信息安全,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,自然人机交互,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,网络计算,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,软件演化与再生,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,软件质量保证,全日制,0,239,
C,10700,西安理工大学,计算机科学与工程学院,软件工程,083500,软件测试,全日制,0,239,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机软件与理论,081202,不区分研究方向,全日制,0,266,不符合调入专业初试科目要求
B-,10595,桂林电子科技大学,生命与环境科学学院,生物医学工程,083100,不区分研究方向,全日制,6,1380,
 ,10496,武汉轻工大学,数学与计算机学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,157,
B-,10595,桂林电子科技大学,建筑与交通工程学院,交通运输工程,082300,不区分研究方向,全日制,5,859,
B,10299,江苏大学,物理与电子工程学院,电子科学与技术,080900,光电子器件研究与应用,全日制,0,1219,
B-,10143,沈阳航空航天大学,计算机学院,(专业学位)电子信息,085400,计算机技术,非全日制,0,19,
 ,10560,汕头大学,工学院,信息与通信工程,081000,人工智能与机器人,全日制,0,19,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,数字图像处理(信息工程),全日制,0,9,
 ,86201,中国舰船研究院,7院,★舰船电子工程技术,0824Z3,舰船电子软件工程,全日制,0,10354,
 ,10146,辽宁科技大学,电子与信息工程学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,7278,
 ,82817,中国工程物理研究院,电子工程研究所,信息与通信工程,081000,信号与信息处理,全日制,0,10338,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,火控雷达目标探测跟踪与仿真技术,全日制,0,6961,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,不区分研究方向,全日制,0,6962,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,人工智能与无人驾驶,全日制,0,379,
211,10005,北京工业大学,信息学部人工智能与自动化学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,9,379,
 ,10704,西安科技大学,计算机科学与技术学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,9,259,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机系统结构,081201,不区分研究方向,全日制,0,266,不符合调入专业初试科目要求
 ,86201,中国舰船研究院,724所,信号与信息处理,081002,微波电路与天线系统,全日制,0,10354,
C-,11232,北京信息科技大学,经济管理学院,(专业学位)工商管理,125100,不区分研究方向,全日制,0,6920,不符合调入专业学科门类要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式高速计算机技术,全日制,0,369,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,超大规模ASIC技术,全日制,0,369,
B,10299,江苏大学,机械工程学院,(专业学位)电子信息,085400,光学工程,非全日制,0,1339,
C-,10705,西安石油大学,电子工程学院,(专业学位)电子信息,085400,电子与通信工程,非全日制,0,79,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,现代信号处理技术及应用(信息工程),全日制,0,9,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,人工智能与医学影像(信息工程),全日制,0,9,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,智能计算与大数据技术,全日制,0,294,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,火控雷达电路与系统综合和分析,全日制,0,6961,
C,10702,西安工业大学,机电工程学院,机械电子工程,080202,智能视觉检测与识别技术,全日制,0,319,
 ,10560,汕头大学,工学院,信息与通信工程,081000,智能电网,全日制,0,19,
 ,10220,东北石油大学,电气信息工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,19,
 ,10304,南通大学,交通与土木工程学院（交通学院）,(专业学位)电子信息,085400,交通信息与智能控制,全日制,5,379,
B,10299,江苏大学,物理与电子工程学院,电子科学与技术,080900,微纳光电器件及设计,全日制,0,1219,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机应用技术,081203,不区分研究方向,全日制,0,266,不符合调入专业初试科目要求
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,信息与通信工程,081000,图像与信息处理,全日制,0,379,
 ,82817,中国工程物理研究院,应用电子学研究所,物理电子学,080901,高功率微波效应,全日制,0,10339,
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,复杂电路与电子学系统,全日制,0,10338,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,人工智能通信与传感一体化,全日制,0,379,
211,10287,南京航空航天大学,雷达成像与微波光子技术教育部重点实验室,(专业学位)电子信息,085400,不区分研究方向,全日制,0,499,
 ,10560,汕头大学,工学院,信息与通信工程,081000,通信与信息系统,全日制,0,19,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,人工智能与信息处理,全日制,0,379,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,智能电网(信息工程),全日制,0,9,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,光电信息感知与智能处理技术,非全日制,0,294,
C+,10621,成都信息工程大学,资源环境学院,(专业学位)资源与环境,085700,大气环境及其污染控制,全日制,0,139,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,智能信息物理融合系统(信息工程),全日制,0,9,
 ,10560,汕头大学,工学院,信息与通信工程,081000,群体智能控制,全日制,0,19,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,新一代智能手机,全日制,0,379,
 ,10259,上海应用技术大学,机械工程学院,机械电子工程,080202,机电系统智能化集成技术,全日制,0,294,
C,10702,西安工业大学,机电工程学院,机械电子工程,080202,电磁环境效应测试与评估技术,全日制,0,319,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,轨交智能控制与检测技术,全日制,0,294,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,实时嵌入式软件,全日制,0,369,不符合调入专业初试科目要求
C-,10705,西安石油大学,电子工程学院,(专业学位)电子信息,085400,智能控制工程,非全日制,0,79,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,智能图像处理(信息工程),全日制,0,9,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,功率变换技术、交换器建模、仿真技术,全日制,0,369,
 ,10192,吉林化工学院,信息与控制工程学院,(专业学位)电子信息,085400,先进控制技术与控制系统集成,全日制,0,259,
B+,10336,杭州电子科技大学,管理学院MBA教育中心,(专业学位)工商管理,125100,不区分研究方向,非全日制,0,199,不符合调入专业学科门类要求
 ,10619,西南科技大学,国防科技学院,(专业学位)电子信息,085400,控制工程,非全日制,0,49,
 ,84002,电信科学技术第一研究所(上海),不区分院系所,信息与通信工程,081000,不区分研究方向,全日制,0,4151,
 ,14430,中国科学院大学,深圳先进技术研究院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,4481,
985,10286,东南大学,苏州联合研究生院,(专业学位)电子信息,085400,人工智能,全日制,0,859,
 ,10560,汕头大学,工学院,信息与通信工程,081000,智能图像处理,全日制,0,19,
B-,10595,桂林电子科技大学,生命与环境科学学院,环境科学与工程,083000,不区分研究方向,全日制,14,1380,
C-,10705,西安石油大学,电子工程学院,(专业学位)电子信息,085400,安全工程,非全日制,0,79,
 ,10560,汕头大学,工学院,信息与通信工程,081000,智能信息物理融合系统,全日制,0,19,
 ,10158,大连海洋大学,信息工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,8299,
985,10358,中国科学技术大学,先进技术研究院,(专业学位)电子信息,085400,计算机技术,全日制,0,135,不符合调入专业初试科目要求
 ,10410,江西农业大学,软件学院,(专业学位)农业工程与信息技术,095136,不区分研究方向,全日制,0,139,不符合调入专业学科门类要求
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,电路与系统EDA技术,全日制,0,6961,
 ,86201,中国舰船研究院,724所,信号与信息处理,081002,多功能雷达信息处理技术,全日制,0,10354,
 ,10798,河北科技师范学院,数学与信息科技学院,(专业学位)农业工程与信息技术,095136,不区分研究方,全日制,0,379,不符合调入专业学科门类要求
 ,11347,仲恺农业工程学院,机电工程学院,(专业学位)农业工程与信息技术,095136,农业工程与信息技术,全日制,0,319,不符合调入专业学科门类要求
 ,10259,上海应用技术大学,机械工程学院,机械电子工程,080202,智能检测与控制技术,全日制,0,294,
 ,10798,河北科技师范学院,数学与信息科技学院,(专业学位)农业工程与信息技术,095136,不区分研究方,非全日制,0,379,不符合调入专业学科门类要求
211,10287,南京航空航天大学,理学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,499,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,网络集成软件开发,全日制,0,369,不符合调入专业初试科目要求
B+,10617,重庆邮电大学,光电工程学院,电子科学与技术,080900,不区分研究方向,全日制,0,8671,
985,10269,华东师范大学,计算机科学与技术学院,(专业学位)电子信息,085400,计算机技术(非全),非全日制,0,859,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,IC设计技术,全日制,0,369,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,先进电子封装技术,全日制,0,369,
C-,10254,上海海事大学,信息工程学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,1039,不符合调入专业初试科目要求
211,10005,北京工业大学,材料与制造学部激光工程研究院,(专业学位)电子信息,085400,不区分研究方向,全日制,8,1105,
 ,82817,中国工程物理研究院,应用电子学研究所,物理电子学,080901,复杂电磁环境技术,全日制,0,10339,
 ,83109,西安机电信息技术研究所(212所),不区分院系所,机械电子工程,080202,机械电子工程,全日制,0,9794,
 ,10619,西南科技大学,国防科技学院,(专业学位)电子信息,085400,控制工程,全日制,0,49,
B,10299,江苏大学,计算机科学与通信工程学院,(专业学位)电子信息,085400,软件工程,非全日制,0,1154,
 ,82817,中国工程物理研究院,应用电子学研究所,物理电子学,080901,毫米波及亚毫米波技术,全日制,0,10339,
 ,83000,中国电子科技集团公司电子科学研究院,北京真空电子技术研究所,物理电子学,080901,不区分研究方向,全日制,0,5286,
 ,10259,上海应用技术大学,机械工程学院,机械电子工程,080202,机器人应用技术,全日制,0,294,
