标记,学校编号,学校名称,所属学院,专业名称,专业代码,研究方向,培养类型,计划人数,距离最后更新时间已过分钟
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,379,
 ,10402,闽南师范大学,计算机学院,(专业学位)电子信息,085400,不区分研究方向,全日制,27,379,
 ,84001,电信科学技术研究院,电信科研院（北京）,信息与通信工程,081000,不区分研究方向,全日制,0,439,
 ,86201,中国舰船研究院,7院,★舰船电子工程技术,0824Z3,舰船电子集成技术,全日制,0,10354,
 ,10192,吉林化工学院,信息与控制工程学院,(专业学位)电子信息,085400,检测技术及自动化装置,全日制,0,259,
C-,10407,江西理工大学,信息工程学院,(专业学位)电子信息,085400,电子与通信工程,全日制,6,139,
C+,10621,成都信息工程大学,资源环境学院,(专业学位)资源利用与植物保护,095132,不区分研究方向,非全日制,0,139,不符合调入专业学科门类要求
 ,10154,辽宁工业大学,电子与信息工程学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,274,
211,10589,海南大学,生物医学工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,32,349,
211,10140,辽宁大学,物理学院,微电子学与固体电子学,080903,不区分研究方向,全日制,0,19,
 ,83201,中国运载火箭技术研究院,772所,电子科学与技术,080900,不区分研究方向,全日制,0,302,
C-,11232,北京信息科技大学,仪器科学与光电工程学院,仪器科学与技术,080400,不区分研究方向,全日制,0,1399,
 ,10259,上海应用技术大学,轨道交通学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,239,
 ,10496,武汉轻工大学,数学与计算机学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,161,
211,10022,北京林业大学,工学院,机械电子工程,080202,机电系统控制及自动化,全日制,0,9881,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式计算机系统结构,全日制,0,369,不符合调入专业初试科目要求
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,294,
211,10140,辽宁大学,物理学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,19,
B-,10595,桂林电子科技大学,数学与计算科学学院,数学,070100,不区分研究方向,全日制,2,139,不符合调入专业学科门类要求
C+,10621,成都信息工程大学,资源环境学院,环境科学与工程,083000,水环境及其污染控制,全日制,0,139,
C,10702,西安工业大学,机电工程学院,机械电子工程,080202,机电系统设计与控制,全日制,0,319,
211,10022,北京林业大学,工学院,机械电子工程,080202,现代传感与检测技术,全日制,0,9881,
 ,10219,黑龙江科技大学,电气与控制工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,229,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,空间计算机系统结构,全日制,0,369,不符合调入专业初试科目要求
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,信息与通信工程,081000,传感器网络,全日制,0,379,
211,10307,南京农业大学,人工智能学院,(专业学位)电子信息,085400,计算机技术,全日制,0,19,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,火控雷达系统的综合与分析,全日制,0,6961,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,空间计算机技术及容错技术,全日制,0,369,不符合调入专业初试科目要求
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,人工智能在教育中的应用,全日制,0,379,
B-,10424,山东科技大学,交通学院,交通信息工程及控制,082302,不区分研究方向,全日制,0,379,
C+,10621,成都信息工程大学,资源环境学院,(专业学位)资源与环境,085700,环境3S技术,全日制,0,139,
C-,10407,江西理工大学,信息工程学院,(专业学位)电子信息,085400,计算机技术,全日制,6,139,
 ,11799,重庆工商大学,机械工程学院,机械电子工程,080202,不区分研究方向,全日制,0,259,
 ,10560,汕头大学,工学院,信息与通信工程,081000,不区分研究方向,全日制,0,19,
211,10287,南京航空航天大学,计算机科学与技术学院/人工智能学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,499,
 ,11560,西安财经大学,信息学院,电子商务,1202Z2,不区分研究方向,全日制,0,1399,不符合调入专业学科门类要求
 ,10139,内蒙古财经大学,不区分院系所,信息管理与信息系统,1202Z1,不区分研究方向,全日制,3,109,不符合调入专业学科门类要求
211,10005,北京工业大学,信息学部微电子学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,11,379,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,微机电器件（MEMS）技术,全日制,0,369,
C+,10621,成都信息工程大学,资源环境学院,(专业学位)资源与环境,085700,水环境及其污染控制,全日制,0,139,
 ,10158,大连海洋大学,机械与动力工程学院,(专业学位)农业工程与信息技术,095136,不区分研究方向,全日制,0,8299,不符合调入专业学科门类要求
C,11845,广东工业大学,自动化学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,259,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,信息与通信工程,081000,多媒体通信,全日制,0,379,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,第六代移动通信,全日制,0,379,
985,10286,东南大学,苏州联合研究生院,(专业学位)电子信息,085400,计算机技术,全日制,0,859,
C,10076,河北工程大学,矿业与测绘工程学院,矿山空间信息工程,0819Z1,不区分研究方向,全日制,0,5363,
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,微波毫米波与太赫兹波技术,全日制,0,10338,
C+,10621,成都信息工程大学,资源环境学院,环境科学与工程,083000,环境3S技术,全日制,0,139,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,计算机控制技术,全日制,0,369,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,混合集成电路设计技术,全日制,0,369,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,光电信息感知与智能处理技术,全日制,0,294,
 ,86219,上海船舶电子设备研究所,不区分院系所,水声工程,082403,不区分研究方向,全日制,0,1129,
 ,83266,中国空间技术研究院(航天五院),不区分院系所,信息与通信工程,081000,不区分研究方向,全日制,0,84,
B+,10336,杭州电子科技大学,材料与环境工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,199,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,不区分研究方向,全日制,0,369,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,0,294,
985,10056,天津大学,精密仪器与光电子工程学院,(专业学位)电子信息,085400,生物医学工程,全日制,0,452,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,信息与通信工程,081000,不区分研究方向,非全日制,0,379,
B-,10143,沈阳航空航天大学,计算机学院,(专业学位)电子信息,085400,软件工程,非全日制,0,19,
 ,10695,西藏民族大学,信息工程学院,(专业学位)电子信息,085400,计算机技术,全日制,0,273,
985,10056,天津大学,精密仪器与光电子工程学院,(专业学位)电子信息,085400,医学物理学,全日制,0,452,
C-,10705,西安石油大学,电子工程学院,(专业学位)电子信息,085400,智能仪器工程,非全日制,0,79,
 ,86201,中国舰船研究院,723所,信号与信息处理,081002,雷达对抗原理,全日制,0,10354,
 ,83901,上海船舶运输科学研究所,舰船自动化,通信与信息系统,081001,不区分研究方向,全日制,0,2999,
 ,10560,汕头大学,工学院,信息与通信工程,081000,人工智能与医学影像,全日制,0,19,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,数字信号处理电路与系统,全日制,0,6961,
B+,10336,杭州电子科技大学,经济学院,应用经济学,020200,不区分研究方向,全日制,0,199,不符合调入专业学科门类要求
 ,10465,中原工学院,机电学院,机械电子工程,080202,不区分研究方向,全日制,0,1189,
211,10718,陕西师范大学,物理学与信息技术学院,(专业学位)电子信息,085400,光学工程,全日制,0,609,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,轨交智能控制与检测技术,非全日制,0,294,
B-,10595,桂林电子科技大学,建筑与交通工程学院,(专业学位)交通运输,086100,不区分研究方向,全日制,3,859,
B,10299,江苏大学,机械工程学院,(专业学位)电子信息,085400,仪器仪表工程,非全日制,0,229,
C-,11232,北京信息科技大学,仪器科学与光电工程学院,光学工程,080300,不区分研究方向,全日制,0,1399,
 ,10113,山西农业大学,园艺学院,(专业学位)农业工程与信息技术,095136,不区分研究方向,全日制,0,266,不符合调入专业学科门类要求
 ,83901,上海船舶运输科学研究所,交通及航运信息化,交通信息工程及控制,082302,不区分研究方向,全日制,0,2999,
C,10702,西安工业大学,机电工程学院,机械电子工程,080202,计算机辅助精密测量,全日制,0,319,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式计算机应用技术,全日制,0,369,不符合调入专业初试科目要求
 ,83266,中国空间技术研究院(航天五院),不区分院系所,空间信息网络与传输技术,0810Z1,不区分研究方向,全日制,0,84,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,人工智能与机器人(信息工程),全日制,0,9,
 ,10402,闽南师范大学,粒计算重点实验室,(专业学位)电子信息,085400,不区分研究方向,全日制,2,709,
 ,10259,上海应用技术大学,机械工程学院,机械电子工程,080202,不区分研究方向,全日制,0,294,
211,10718,陕西师范大学,地理科学与旅游学院,地图学与地理信息系统,070503,不区分研究方向,全日制,0,1279,不符合调入专业学科门类要求
 ,10193,吉林农业大学,智慧农业研究院,(专业学位)农业工程与信息技术,095136,不区分研究方向,全日制,3,139,不符合调入专业学科门类要求
 ,82817,中国工程物理研究院,电子工程研究所,信息与通信工程,081000,复杂系统信息融合,全日制,0,10338,
 ,84001,电信科学技术研究院,电信科研院（北京）,电子科学与技术,080900,不区分研究方向,全日制,0,439,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,微电子学与固体电子学,080903,超大规模集成电路工艺技术,全日制,0,369,
B,10299,江苏大学,机械工程学院,(专业学位)电子信息,085400,光学工程,全日制,0,1339,
985,10286,东南大学,苏州联合研究生院,(专业学位)电子信息,085400,健康数据科学,全日制,0,859,
 ,14430,中国科学院大学,新疆理化技术研究所,物理电子学,080901,不区分研究方向,全日制,1,3141,
C,10702,西安工业大学,机电工程学院,机械电子工程,080202,计算机数控技术,全日制,0,319,
 ,82817,中国工程物理研究院,电子工程研究所,信息与通信工程,081000,通信与信息系统,全日制,0,10338,
985,10056,天津大学,精密仪器与光电子工程学院,(专业学位)电子信息,085400,仪器仪表工程,全日制,0,452,
 ,14430,中国科学院大学,光电技术研究所,(专业学位)电子信息,085400,不区分研究方向,全日制,0,229,
 ,82806,核工业北京地质研究院,不区分院系所,地球探测与信息技术,081802,不区分研究方向,全日制,1,334,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,群体智能控制(信息工程),全日制,0,9,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,微波电路与系统工程,全日制,0,6961,
211,10589,海南大学,机电工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,10,319,
B-,10595,桂林电子科技大学,建筑与交通工程学院,(专业学位)土木水利,085900,不区分研究方向,全日制,6,859,
 ,10148,辽宁石油化工大学,计算机与通信工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,15,159,
 ,10298,南京林业大学,土木工程学院,土木测绘与信息技术,0814Z1,不区分研究方向,全日制,1,379,
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,微电子学与集成微系统技术,全日制,0,10338,
C,10702,西安工业大学,机电工程学院,机械电子工程,080202,智能传感器系统,全日制,0,319,
211,10022,北京林业大学,工学院,机械电子工程,080202,机器视觉及应用,全日制,0,9881,
211,10005,北京工业大学,信息学部计算机学院,(专业学位)电子信息,085400,不区分研究方向,非全日制,10,379,不符合调入专业初试科目要求
 ,10560,汕头大学,工学院,信息与通信工程,081000,信号与信息处理,全日制,0,19,
C-,11232,北京信息科技大学,经济管理学院,(专业学位)会计,125300,不区分研究方向,非全日制,0,6920,不符合调入专业学科门类要求
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,信息与通信工程,081000,无线移动通信,全日制,0,379,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,无线通信,全日制,0,379,
 ,10695,西藏民族大学,信息工程学院,(专业学位)电子信息,085400,电子与通信工程,全日制,0,273,
211,10033,中国传媒大学,协同创新中心,(专业学位)电子信息,085400,数据智能技术与应用,全日制,0,259,
B+,10336,杭州电子科技大学,经济学院,(专业学位)金融,025100,不区分研究方向,非全日制,0,199,不符合调入专业学科门类要求
 ,14430,中国科学院大学,新疆理化技术研究所,微电子学与固体电子学,080903,不区分研究方向,全日制,3,3141,
C,11845,广东工业大学,信息工程学院,(专业学位)电子信息,085400,信息工程与集成电路方向,非全日制,15,6079,
B,10214,哈尔滨理工大学,自动化学院,(专业学位)电子信息,085400,控制工程,全日制,0,139,
 ,10560,汕头大学,工学院,(专业学位)电子信息,085400,宽带通信技术及应用(信息工程),全日制,0,9,
 ,83113,西安电子工程研究所（206所）,不区分院系所,武器系统与运用工程,082601,火控雷达系统的电子对抗与信息融合技术,全日制,0,6961,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,不区分研究方向,全日制,0,369,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,特种电真空技术,全日制,0,10338,
211,10589,海南大学,生物医学工程学院,信息与通信工程,081000,不区分研究方向,全日制,19,349,
 ,10259,上海应用技术大学,机械工程学院,(专业学位)电子信息,085400,智能计算与大数据技术,非全日制,0,294,
C-,11232,北京信息科技大学,仪器科学与光电工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,1579,
C+,10621,成都信息工程大学,资源环境学院,环境科学与工程,083000,大气环境及其污染控制,全日制,0,139,
C-,11232,北京信息科技大学,自动化学院,控制科学与工程,081100,不区分研究方向,全日制,0,139,
 ,10192,吉林化工学院,信息与控制工程学院,(专业学位)电子信息,085400,通信网络系统的建模、仿真及优化控制,全日制,0,259,
985,10358,中国科学技术大学,物理学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,229,
 ,10695,西藏民族大学,信息工程学院,(专业学位)电子信息,085400,不区分研究方向,全日制,0,273,
 ,10065,天津师范大学,电子与通信工程学院、人工智能学院,(专业学位)电子信息,085400,无线网络,全日制,0,379,
C+,10621,成都信息工程大学,资源环境学院,3S集成与气象应用,0706Z3,不区分研究方向,全日制,0,139,不符合调入专业学科门类要求
 ,86201,中国舰船研究院,724所,信号与信息处理,081002,先进信号检测与处理技术,全日制,0,10354,
 ,82817,中国工程物理研究院,电子工程研究所,物理电子学,080901,微纳米机电系统技术,全日制,0,10338,
 ,10192,吉林化工学院,理学院,(专业学位)电子信息,085400,人工智能技术与应用,全日制,0,259,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机软件与理论,081202,不区分研究方向,全日制,0,266,不符合调入专业初试科目要求
985,10141,大连理工大学,（主校区）电子信息与电气工程学部,(专业学位)电子信息,085400,数据工程与智能计算,非全日制,11,244,
